item_title,item_price,item_category,item_rating
Microsoft Xbox Series X 1TB Video Game Console - Black,495.00,New,4.9
Sony PS5 Blu-Ray Edition Console God of War Ragnarök Bundle - White,470.00,New,5.0
Sony PS5 Blu-Ray Edition Console - White,570.00,New,4.9
Sony PS5 Digital Edition Console - White,524.99,New,4.9
Sony PS5 Blu-Ray Edition Console Horizon Forbidden West Bundle - White,549.98,New,5.0
Sony PS5 Digital Edition Console God of War Ragnarök Bundle - White,524.99,New,5.0
Nintendo Switch OLED Model HEG-001 Handheld Console - 64GB - White,279.99,New,5.0
Nintendo Switch 32GB Handheld Console - Neon Red/Neon Blue,255.00,New,4.8
Nintendo Switch (OLED Model) HEG-001 Pokémon Scarlet & Violet Edition - 64GB - Black/Red/Purple,264.99,New,4.9
Analogue Pocket Handheld System - Black,305.00,New,5.0
Nintendo Switch (OLED Model) HEG-001 Splatoon 3 Edition Video Game Console - 64GB - Black/Blue/Yellow Gradient,319.00,New,5.0
Sony PS5 Digital Edition Console - White,539.99,New,5.0
Nintendo Switch Lite HDH-001 Handheld Console - 32GB - Blue,205.00,New,4.8
Microsoft Xbox Series S 512GB Video Game Console - White,249.95,New,4.9
Valve Steam Deck 64GB Handheld System - Black,475.99,New,5.0
Nintendo Switch HAC-001(-01) Animal Crossing: New Horizon Special Edition - 32GB - White with Pastel Green/Pastel Blue Joy-Con Controllers,209.99,New,4.9
Nintendo Switch HAC-001(-01) with Blue and Red Joy-Con Controllers and Mario Kart 8 Bundle - Black,339.00,New,4.8
Microsoft Xbox Series S Holiday Edition 512GB Video Game Console - White,241.00,New,0.0
Nintendo Super NES Classic Edition Video Game Console - Gray,159.00,New,4.8
Sony PS5 CFI-1215A Blu-Ray Edition Console - White,549.99,New,5.0
Nintendo Entertainment System 512MB NES Classic Edition Console - White/Gray,149.99,New,4.8
Valve Steam Deck 256GB - Black,649.99,New,5.0
Valve Steam Deck 512GB Handheld Console,184.93,New,4.4
Sony PS5 Digital Edition Console Horizon Forbidden West Bundle - White,499.00,New,5.0
Nintendo Switch HAC-001(-01) Fortnite Wildcat Console Bundle - Yellow/Blue Joy-Con Controllers,279.99,New,4.7
Sony PlayStation Classic Gray Console (3003868),69.95,New,4.6
Nintendo Game & Watch: Super Mario Bros. Handheld Console,30.99,New,5.0
